ID,CONTINENT,COUNTRY,YEAR,DEPARTURE
1,ASIA,AFGHANISTAN,2008,28
2,ASIA,AFGHANISTAN,2009,70
3,ASIA,AFGHANISTAN,2010,106
4,ASIA,AFGHANISTAN,2011,255
5,ASIA,AFGHANISTAN,2012,110
6,ASIA,AFGHANISTAN,2013,138
7,ASIA,AFGHANISTAN,2014,140
8,ASIA,AFGHANISTAN,2015,151
9,ASIA,AFGHANISTAN,2016,89
10,ASIA,AFGHANISTAN,2017,130
11,ASIA,AFGHANISTAN,2018,226
12,EUROPE,ALBANIA,2008,3716
13,EUROPE,ALBANIA,2009,3404
14,EUROPE,ALBANIA,2010,3443
15,EUROPE,ALBANIA,2011,4120
16,EUROPE,ALBANIA,2012,3959
17,EUROPE,ALBANIA,2013,3928
18,EUROPE,ALBANIA,2014,4146
19,EUROPE,ALBANIA,2015,4504
20,EUROPE,ALBANIA,2016,4852
21,EUROPE,ALBANIA,2017,5186
22,EUROPE,ALBANIA,2018,5415
23,AFRICA,ALGERIA,2008,1539
24,AFRICA,ALGERIA,2009,1677
25,AFRICA,ALGERIA,2010,1757
26,AFRICA,ALGERIA,2011,1715
27,AFRICA,ALGERIA,2012,1911
28,AFRICA,ALGERIA,2013,2136
29,AFRICA,ALGERIA,2014,2839
30,AFRICA,ALGERIA,2015,3638
31,AFRICA,ALGERIA,2016,4530
32,AFRICA,ALGERIA,2017,5058
33,AFRICA,ALGERIA,2018,5610
34,SOUTH AMERICA,ARGENTINA,2008,4614
35,SOUTH AMERICA,ARGENTINA,2009,4981
36,SOUTH AMERICA,ARGENTINA,2010,5307
37,SOUTH AMERICA,ARGENTINA,2011,6686
38,SOUTH AMERICA,ARGENTINA,2012,7266
39,SOUTH AMERICA,ARGENTINA,2013,6746
40,SOUTH AMERICA,ARGENTINA,2014,6517
41,SOUTH AMERICA,ARGENTINA,2015,7807
42,SOUTH AMERICA,ARGENTINA,2016,10417
43,SOUTH AMERICA,ARGENTINA,2017,12213
44,SOUTH AMERICA,ARGENTINA,2018,11130
45,ASIA,ARMENIA,2008,516
46,ASIA,ARMENIA,2009,526
47,ASIA,ARMENIA,2010,563
48,ASIA,ARMENIA,2011,715
49,ASIA,ARMENIA,2012,965
50,ASIA,ARMENIA,2013,1083
51,ASIA,ARMENIA,2014,1198
52,ASIA,ARMENIA,2015,1187
53,ASIA,ARMENIA,2016,1263
54,ASIA,ARMENIA,2017,1482
55,ASIA,ARMENIA,2018,1623
56,OCEANIA,AUSTRALIA,2008,5808
57,OCEANIA,AUSTRALIA,2009,6276
58,OCEANIA,AUSTRALIA,2010,7103
59,OCEANIA,AUSTRALIA,2011,7788
60,OCEANIA,AUSTRALIA,2012,8212
61,OCEANIA,AUSTRALIA,2013,9052
62,OCEANIA,AUSTRALIA,2014,9480
63,OCEANIA,AUSTRALIA,2015,9810
64,OCEANIA,AUSTRALIA,2016,10390
65,OCEANIA,AUSTRALIA,2017,10932
66,OCEANIA,AUSTRALIA,2018,11403
67,EUROPE,AUSTRIA,2008,9677
68,EUROPE,AUSTRIA,2009,10121
69,EUROPE,AUSTRIA,2010,9882
70,EUROPE,AUSTRIA,2011,9874
71,EUROPE,AUSTRIA,2012,10960
72,EUROPE,AUSTRIA,2013,10671
73,EUROPE,AUSTRIA,2014,10994
74,EUROPE,AUSTRIA,2015,10628
75,EUROPE,AUSTRIA,2016,11534
76,EUROPE,AUSTRIA,2017,11491
77,EUROPE,AUSTRIA,2018,11883
78,ASIA,AZERBAIJAN,2008,2162
79,ASIA,AZERBAIJAN,2009,2363
80,ASIA,AZERBAIJAN,2010,3176
81,ASIA,AZERBAIJAN,2011,3550
82,ASIA,AZERBAIJAN,2012,3874
83,ASIA,AZERBAIJAN,2013,4285
84,ASIA,AZERBAIJAN,2014,4244
85,ASIA,AZERBAIJAN,2015,4096
86,ASIA,AZERBAIJAN,2016,4282
87,ASIA,AZERBAIJAN,2017,4109
88,ASIA,AZERBAIJAN,2018,4908
89,EUROPE,BELARUS,2008,380
90,EUROPE,BELARUS,2009,316
91,EUROPE,BELARUS,2010,415
92,EUROPE,BELARUS,2011,320
93,EUROPE,BELARUS,2012,493
94,EUROPE,BELARUS,2013,708
95,EUROPE,BELARUS,2014,741
96,EUROPE,BELARUS,2015,671
97,EUROPE,BELARUS,2016,467
98,EUROPE,BELARUS,2017,706
99,EUROPE,BELARUS,2018,836
100,EUROPE,BELGIUM,2008,8887
101,EUROPE,BELGIUM,2009,8775
102,EUROPE,BELGIUM,2010,8801
103,EUROPE,BELGIUM,2011,9727
104,EUROPE,BELGIUM,2012,9576
105,EUROPE,BELGIUM,2013,10803
106,EUROPE,BELGIUM,2014,10991
107,EUROPE,BELGIUM,2015,10835
108,EUROPE,BELGIUM,2016,13372
109,EUROPE,BELGIUM,2017,12142
110,EUROPE,BELGIUM,2018,13098
111,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2008,589
112,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2009,518
113,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2010,604
114,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2011,775
115,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2012,788
116,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2013,837
117,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2014,932
118,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2015,965
119,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2016,940
120,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2017,997
121,SOUTH AMERICA,"BOLIVIA, PLURINATIONAL STATE OF",2018,1060
122,SOUTH AMERICA,BRAZIL,2008,5238
123,SOUTH AMERICA,BRAZIL,2009,4920
124,SOUTH AMERICA,BRAZIL,2010,6457
125,SOUTH AMERICA,BRAZIL,2011,7807
126,SOUTH AMERICA,BRAZIL,2012,8497
127,SOUTH AMERICA,BRAZIL,2013,8866
128,SOUTH AMERICA,BRAZIL,2014,9617
129,SOUTH AMERICA,BRAZIL,2015,9478
130,SOUTH AMERICA,BRAZIL,2016,8872
131,SOUTH AMERICA,BRAZIL,2017,10610
132,SOUTH AMERICA,BRAZIL,2018,10628
133,EUROPE,BULGARIA,2008,5727
134,EUROPE,BULGARIA,2009,4993
135,EUROPE,BULGARIA,2010,3676
136,EUROPE,BULGARIA,2011,3803
137,EUROPE,BULGARIA,2012,3758
138,EUROPE,BULGARIA,2013,3930
139,EUROPE,BULGARIA,2014,4158
140,EUROPE,BULGARIA,2015,4632
141,EUROPE,BULGARIA,2016,5392
142,EUROPE,BULGARIA,2017,6228
143,EUROPE,BULGARIA,2018,6699
144,ASIA,CAMBODIA,2008,786
145,ASIA,CAMBODIA,2009,340
146,ASIA,CAMBODIA,2010,505
147,ASIA,CAMBODIA,2011,710
148,ASIA,CAMBODIA,2012,792
149,ASIA,CAMBODIA,2013,872
150,ASIA,CAMBODIA,2014,956
151,ASIA,CAMBODIA,2015,1194
152,ASIA,CAMBODIA,2016,1434
153,ASIA,CAMBODIA,2017,1752
154,ASIA,CAMBODIA,2018,1995
155,NORTH AMERICA,CANADA,2008,27034
156,NORTH AMERICA,CANADA,2009,26204
157,NORTH AMERICA,CANADA,2010,28680
158,NORTH AMERICA,CANADA,2011,30450
159,NORTH AMERICA,CANADA,2012,32276
160,NORTH AMERICA,CANADA,2013,32971
161,NORTH AMERICA,CANADA,2014,33518
162,NORTH AMERICA,CANADA,2015,32267
163,NORTH AMERICA,CANADA,2016,31278
164,NORTH AMERICA,CANADA,2017,33060
165,NORTH AMERICA,CANADA,2018,26033
166,SOUTH AMERICA,CHILE,2008,1900
167,SOUTH AMERICA,CHILE,2009,1909
168,SOUTH AMERICA,CHILE,2010,2219
169,SOUTH AMERICA,CHILE,2011,2638
170,SOUTH AMERICA,CHILE,2012,2837
171,SOUTH AMERICA,CHILE,2013,2999
172,SOUTH AMERICA,CHILE,2014,3169
173,SOUTH AMERICA,CHILE,2015,3359
174,SOUTH AMERICA,CHILE,2016,3553
175,SOUTH AMERICA,CHILE,2017,3620
176,SOUTH AMERICA,CHILE,2018,3825
177,ASIA,CHINA,2008,45844
178,ASIA,CHINA,2009,47656
179,ASIA,CHINA,2010,57386
180,ASIA,CHINA,2011,70250
181,ASIA,CHINA,2012,83182
182,ASIA,CHINA,2013,98185
183,ASIA,CHINA,2014,116593
184,ASIA,CHINA,2015,127860
185,ASIA,CHINA,2016,135130
186,ASIA,CHINA,2017,143035
187,ASIA,CHINA,2018,149720
188,SOUTH AMERICA,COLOMBIA,2008,2042
189,SOUTH AMERICA,COLOMBIA,2009,2122
190,SOUTH AMERICA,COLOMBIA,2010,2342
191,SOUTH AMERICA,COLOMBIA,2011,2522
192,SOUTH AMERICA,COLOMBIA,2012,3169
193,SOUTH AMERICA,COLOMBIA,2013,3605
194,SOUTH AMERICA,COLOMBIA,2014,3911
195,SOUTH AMERICA,COLOMBIA,2015,3862
196,SOUTH AMERICA,COLOMBIA,2016,3795
197,SOUTH AMERICA,COLOMBIA,2017,4017
198,SOUTH AMERICA,COLOMBIA,2018,4368
199,OCEANIA,COOK ISLANDS,2008,13
200,OCEANIA,COOK ISLANDS,2009,12
201,OCEANIA,COOK ISLANDS,2010,12
202,OCEANIA,COOK ISLANDS,2011,13
203,OCEANIA,COOK ISLANDS,2012,12
204,OCEANIA,COOK ISLANDS,2013,12
205,OCEANIA,COOK ISLANDS,2014,12
206,OCEANIA,COOK ISLANDS,2015,13
207,OCEANIA,COOK ISLANDS,2016,14
208,OCEANIA,COOK ISLANDS,2017,13
209,OCEANIA,COOK ISLANDS,2018,14
210,NORTH AMERICA,COSTA RICA,2008,528
211,NORTH AMERICA,COSTA RICA,2009,579
212,NORTH AMERICA,COSTA RICA,2010,662
213,NORTH AMERICA,COSTA RICA,2011,717
214,NORTH AMERICA,COSTA RICA,2012,773
215,NORTH AMERICA,COSTA RICA,2013,790
216,NORTH AMERICA,COSTA RICA,2014,798
217,NORTH AMERICA,COSTA RICA,2015,919
218,NORTH AMERICA,COSTA RICA,2016,1036
219,NORTH AMERICA,COSTA RICA,2017,1150
220,NORTH AMERICA,COSTA RICA,2018,1079
221,EUROPE,CROATIA,2008,2357
222,EUROPE,CROATIA,2009,2497
223,EUROPE,CROATIA,2010,1873
224,EUROPE,CROATIA,2011,2880
225,EUROPE,CROATIA,2012,2680
226,EUROPE,CROATIA,2013,2927
227,EUROPE,CROATIA,2014,2763
228,EUROPE,CROATIA,2015,2578
229,EUROPE,CROATIA,2016,1615
230,EUROPE,CROATIA,2017,1923
231,EUROPE,CROATIA,2018,2058
232,EUROPE,CYPRUS,2008,1210
233,EUROPE,CYPRUS,2009,1172
234,EUROPE,CYPRUS,2010,1246
235,EUROPE,CYPRUS,2011,1209
236,EUROPE,CYPRUS,2012,1194
237,EUROPE,CYPRUS,2013,1115
238,EUROPE,CYPRUS,2014,1209
239,EUROPE,CYPRUS,2015,1119
240,EUROPE,CYPRUS,2016,1268
241,EUROPE,CYPRUS,2017,1407
242,EUROPE,CYPRUS,2018,1446
243,EUROPE,CZECH REPUBLIC,2008,9665
244,EUROPE,CZECH REPUBLIC,2009,8904
245,EUROPE,CZECH REPUBLIC,2010,8673
246,EUROPE,CZECH REPUBLIC,2011,5279
247,EUROPE,CZECH REPUBLIC,2012,5419
248,EUROPE,CZECH REPUBLIC,2013,5781
249,EUROPE,CZECH REPUBLIC,2014,5651
250,EUROPE,CZECH REPUBLIC,2015,5856
251,EUROPE,CZECH REPUBLIC,2016,6027
252,EUROPE,CZECH REPUBLIC,2017,6775
253,EUROPE,CZECH REPUBLIC,2018,7390
254,EUROPE,DENMARK,2008,6347
255,EUROPE,DENMARK,2009,7037
256,EUROPE,DENMARK,2010,7726
257,EUROPE,DENMARK,2011,7846
258,EUROPE,DENMARK,2012,7843
259,EUROPE,DENMARK,2013,6977
260,EUROPE,DENMARK,2014,8528
261,EUROPE,DENMARK,2015,8991
262,EUROPE,DENMARK,2016,9651
263,EUROPE,DENMARK,2017,8087
264,EUROPE,DENMARK,2018,7475
265,NORTH AMERICA,DOMINICAN REPUBLIC,2008,413
266,NORTH AMERICA,DOMINICAN REPUBLIC,2009,415
267,NORTH AMERICA,DOMINICAN REPUBLIC,2010,401
268,NORTH AMERICA,DOMINICAN REPUBLIC,2011,408
269,NORTH AMERICA,DOMINICAN REPUBLIC,2012,418
270,NORTH AMERICA,DOMINICAN REPUBLIC,2013,392
271,NORTH AMERICA,DOMINICAN REPUBLIC,2014,427
272,NORTH AMERICA,DOMINICAN REPUBLIC,2015,478
273,NORTH AMERICA,DOMINICAN REPUBLIC,2016,500
274,NORTH AMERICA,DOMINICAN REPUBLIC,2017,522
275,NORTH AMERICA,DOMINICAN REPUBLIC,2018,514
276,SOUTH AMERICA,ECUADOR,2008,815
277,SOUTH AMERICA,ECUADOR,2009,814
278,SOUTH AMERICA,ECUADOR,2010,899
279,SOUTH AMERICA,ECUADOR,2011,1022
280,SOUTH AMERICA,ECUADOR,2012,1022
281,SOUTH AMERICA,ECUADOR,2013,1138
282,SOUTH AMERICA,ECUADOR,2014,1096
283,SOUTH AMERICA,ECUADOR,2015,1221
284,SOUTH AMERICA,ECUADOR,2016,1366
285,SOUTH AMERICA,ECUADOR,2017,1347
286,SOUTH AMERICA,ECUADOR,2018,1402
287,EUROPE,ESTONIA,2008,692
288,EUROPE,ESTONIA,2009,752
289,EUROPE,ESTONIA,2010,955
290,EUROPE,ESTONIA,2011,1054
291,EUROPE,ESTONIA,2012,1147
292,EUROPE,ESTONIA,2013,1166
293,EUROPE,ESTONIA,2014,1426
294,EUROPE,ESTONIA,2015,1250
295,EUROPE,ESTONIA,2016,1339
296,EUROPE,ESTONIA,2017,1279
297,EUROPE,ESTONIA,2018,2069
298,AFRICA,ESWATINI,2008,1177
299,AFRICA,ESWATINI,2009,1245
300,AFRICA,ESWATINI,2010,1141
301,AFRICA,ESWATINI,2011,1264
302,AFRICA,ESWATINI,2012,1403
303,AFRICA,ESWATINI,2013,1573
304,AFRICA,ESWATINI,2014,1657
305,AFRICA,ESWATINI,2015,1713
306,AFRICA,ESWATINI,2016,1789
307,AFRICA,ESWATINI,2017,1751
308,AFRICA,ESWATINI,2018,1717
309,EUROPE,FINLAND,2008,5854
310,EUROPE,FINLAND,2009,5832
311,EUROPE,FINLAND,2010,6633
312,EUROPE,FINLAND,2011,7274
313,EUROPE,FINLAND,2012,9055
314,EUROPE,FINLAND,2013,8562
315,EUROPE,FINLAND,2014,8731
316,EUROPE,FINLAND,2015,8904
317,EUROPE,FINLAND,2016,9125
318,EUROPE,FINLAND,2017,9330
319,EUROPE,FINLAND,2018,9450
320,EUROPE,FRANCE,2008,25506
321,EUROPE,FRANCE,2009,25140
322,EUROPE,FRANCE,2010,25041
323,EUROPE,FRANCE,2011,26155
324,EUROPE,FRANCE,2012,25317
325,EUROPE,FRANCE,2013,26062
326,EUROPE,FRANCE,2014,27919
327,EUROPE,FRANCE,2015,26648
328,EUROPE,FRANCE,2016,26483
329,EUROPE,FRANCE,2017,29055
330,EUROPE,FRANCE,2018,26914
331,ASIA,GEORGIA,2008,1872
332,ASIA,GEORGIA,2009,1980
333,ASIA,GEORGIA,2010,2086
334,ASIA,GEORGIA,2011,2237
335,ASIA,GEORGIA,2012,2734
336,ASIA,GEORGIA,2013,3220
337,ASIA,GEORGIA,2014,3106
338,ASIA,GEORGIA,2015,3136
339,ASIA,GEORGIA,2016,3400
340,ASIA,GEORGIA,2017,3851
341,ASIA,GEORGIA,2018,3698
342,EUROPE,GERMANY,2008,86201
343,EUROPE,GERMANY,2009,85547
344,EUROPE,GERMANY,2010,85872
345,EUROPE,GERMANY,2011,84692
346,EUROPE,GERMANY,2012,82729
347,EUROPE,GERMANY,2013,87459
348,EUROPE,GERMANY,2014,83008
349,EUROPE,GERMANY,2015,83737
350,EUROPE,GERMANY,2016,90966
351,EUROPE,GERMANY,2017,92402
352,EUROPE,GERMANY,2018,108542
353,EUROPE,GREECE,2008,3765
354,EUROPE,GREECE,2009,3835
355,EUROPE,GREECE,2010,3799
356,EUROPE,GREECE,2011,4941
357,EUROPE,GREECE,2012,4681
358,EUROPE,GREECE,2013,4594
359,EUROPE,GREECE,2014,5802
360,EUROPE,GREECE,2015,6291
361,EUROPE,GREECE,2016,7235
362,EUROPE,GREECE,2017,7685
363,EUROPE,GREECE,2018,7961
364,NORTH AMERICA,GUATEMALA,2008,1277
365,NORTH AMERICA,GUATEMALA,2009,651
366,NORTH AMERICA,GUATEMALA,2010,694
367,NORTH AMERICA,GUATEMALA,2011,718
368,NORTH AMERICA,GUATEMALA,2012,721
369,NORTH AMERICA,GUATEMALA,2013,846
370,NORTH AMERICA,GUATEMALA,2014,992
371,NORTH AMERICA,GUATEMALA,2015,1130
372,NORTH AMERICA,GUATEMALA,2016,1195
373,NORTH AMERICA,GUATEMALA,2017,1328
374,NORTH AMERICA,GUATEMALA,2018,1536
375,ASIA,"HONG KONG, CHINA",2008,81911
376,ASIA,"HONG KONG, CHINA",2009,81958
377,ASIA,"HONG KONG, CHINA",2010,84442
378,ASIA,"HONG KONG, CHINA",2011,84816
379,ASIA,"HONG KONG, CHINA",2012,85276
380,ASIA,"HONG KONG, CHINA",2013,84414
381,ASIA,"HONG KONG, CHINA",2014,84519
382,ASIA,"HONG KONG, CHINA",2015,89082
383,ASIA,"HONG KONG, CHINA",2016,91758
384,ASIA,"HONG KONG, CHINA",2017,91304
385,ASIA,"HONG KONG, CHINA",2018,92214
386,EUROPE,HUNGARY,2008,17162
387,EUROPE,HUNGARY,2009,16640
388,EUROPE,HUNGARY,2010,16082
389,EUROPE,HUNGARY,2011,16634
390,EUROPE,HUNGARY,2012,16143
391,EUROPE,HUNGARY,2013,16038
392,EUROPE,HUNGARY,2014,16340
393,EUROPE,HUNGARY,2015,17276
394,EUROPE,HUNGARY,2016,18895
395,EUROPE,HUNGARY,2017,20297
396,EUROPE,HUNGARY,2018,22805
397,EUROPE,ICELAND,2008,414
398,EUROPE,ICELAND,2009,259
399,EUROPE,ICELAND,2010,299
400,EUROPE,ICELAND,2011,341
401,EUROPE,ICELAND,2012,358
402,EUROPE,ICELAND,2013,365
403,EUROPE,ICELAND,2014,400
404,EUROPE,ICELAND,2015,450
405,EUROPE,ICELAND,2016,536
406,EUROPE,ICELAND,2017,619
407,EUROPE,ICELAND,2018,668
408,ASIA,INDIA,2008,10868
409,ASIA,INDIA,2009,11067
410,ASIA,INDIA,2010,12988
411,ASIA,INDIA,2011,13994
412,ASIA,INDIA,2012,14920
413,ASIA,INDIA,2013,16626
414,ASIA,INDIA,2014,18330
415,ASIA,INDIA,2015,20376
416,ASIA,INDIA,2016,21872
417,ASIA,INDIA,2017,23943
418,ASIA,INDIA,2018,26296
419,ASIA,INDONESIA,2008,5486
420,ASIA,INDONESIA,2009,5053
421,ASIA,INDONESIA,2010,6235
422,ASIA,INDONESIA,2011,6750
423,ASIA,INDONESIA,2012,7454
424,ASIA,INDONESIA,2013,8025
425,ASIA,INDONESIA,2014,8074
426,ASIA,INDONESIA,2015,8176
427,ASIA,INDONESIA,2016,8340
428,ASIA,INDONESIA,2017,8856
429,ASIA,INDONESIA,2018,9468
430,EUROPE,IRELAND,2008,7877
431,EUROPE,IRELAND,2009,7047
432,EUROPE,IRELAND,2010,6917
433,EUROPE,IRELAND,2011,6514
434,EUROPE,IRELAND,2012,6600
435,EUROPE,IRELAND,2013,6579
436,EUROPE,IRELAND,2014,6676
437,EUROPE,IRELAND,2015,7094
438,EUROPE,IRELAND,2016,7646
439,EUROPE,IRELAND,2017,8171
440,EUROPE,IRELAND,2018,8643
441,ASIA,ISRAEL,2008,4207
442,ASIA,ISRAEL,2009,4007
443,ASIA,ISRAEL,2010,4269
444,ASIA,ISRAEL,2011,4387
445,ASIA,ISRAEL,2012,4349
446,ASIA,ISRAEL,2013,4757
447,ASIA,ISRAEL,2014,5181
448,ASIA,ISRAEL,2015,5891
449,ASIA,ISRAEL,2016,6781
450,ASIA,ISRAEL,2017,7597
